Designator,Footprint,Quantity,Value,LCSC Part #
"BP101, BP102, BP103, BP104",BananaPlug,4,~,
C101,0603,1,C,
"C102, C105",0603,2,1uf,
"C103, C106, C107, C203, C205",0603,5,10uf,
C104,0603,1,10f,
"C201, C202",0805,2,10uf,
C204,0603,1,100nf,
"C206, C207, C208",0805,3,22uf,
L201,L_Coilcraft_XAL4020-XXX,1,1uH,C4555951
"R201, R204",0603,2,10k,
R202,0603,1,332k,
R203,0603,1,51k,
"RF101, RF102, RF103, RF104",ANT-SMD_73412-0110,4,73412-0110,C434806
U101,TO-252-2_L6.6-W6.1-P4.58-LS9.9-TL,1,MC7805CDTRKG,C54285
U102,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,ADM7150ARDZ-5.0,C208034
U201,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS63070RNMR,C109322
"USB101, USB102",USB-A-SMD_AF180QT1.0,2,AF180QT1.0,C404963
