Designator,Footprint,Quantity,Value,LCSC Part #
"BP-5V101, BP-GND101",BananaPlug,2,~,
"C201, C203, C301, C303",0603,4,1uf,
"C202, C302",0603,2,2.7nf,
"D201, D202, D203, D205, D206, D301, D302, D303, D305, D306",0603,10,LED,C2286
"D204, D304",SOD-123_L2.7-W1.6-LS3.7-RD,2,1.8V,C150464
"Protect201, Protect301",VQFN-10_L2.0-W2.0-P0.45-TL,2,LM73100RPWR,C3210761
"Q201, Q301",SOT-23,2,2N7002,
"R201, R211, R301, R311",0603,4,470k,
"R202, R302",0603,2,196k,
"R203, R303",0603,2,54.9k,
"R204, R207, R210, R216, R220, R304, R307, R310, R316, R320",0603,10,150,
"R205, R305",0603,2,5.6k,
"R206, R209, R213, R218, R306, R309, R313, R318",0603,8,1k,
"R208, R308",0603,2,12k,
"R212, R312",0603,2,68k,
"R214, R314",0603,2,4120,
"R215, R315",0603,2,249k,
"R217, R317",0603,2,680k,
"R219, R319",0603,2,10k,
"RF101, RF102, RF103",ANT-SMD_73412-0110,3,73412-0110,C434806
"U201, U301",SOIC-14_3.9x8.7mm_P1.27mm,2,LM339,C350549
USB101,MICRO-USB-SMD_MICROXNJ,1,MICROXNJ,C404969
"USB102, USB103, USB104",USB-A-SMD_AF180QT1.0,3,AF180QT1.0,C404963
