Designator,Mid X,Mid Y,Rotation,Layer
C201,54.225,-36.0,180.0,top
C202,57.225,-40.0,0.0,top
C203,55.225,-41.5,180.0,top
D201,51.0,-52.0,270.0,top
D202,47.833332,-52.0,270.0,top
D203,44.666666,-52.0,270.0,top
D204,61.0,-36.0,0.0,top
D205,41.5,-52.0,270.0,top
D206,43.2125,-43.5,0.0,top
Protect201,54.09,-38.77,0.0,top
Q201,43.05,-40.4375,90.0,top
R201,50.675,-35.5,0.0,top
R202,50.675,-37.0,0.0,top
R203,50.675,-38.5,0.0,top
R204,51.06,-47.8875,270.0,top
R205,70.725,-49.19,180.0,top
R206,70.725,-47.69,0.0,top
R207,47.903332,-47.8875,270.0,top
R208,70.725,-44.19,180.0,top
R209,70.725,-45.69,0.0,top
R210,44.746666,-47.8875,270.0,top
R211,50.675,-40.5,0.0,top
R212,59.225,-49.19,0.0,top
R213,59.225,-47.69,180.0,top
R214,61.0,-38.0,180.0,top
R215,50.675,-42.0,0.0,top
R216,41.59,-47.8875,270.0,top
R217,59.05,-44.23,0.0,top
R218,59.05,-45.74,180.0,top
R219,43.175,-36.0,0.0,top
R220,43.175,-45.0,0.0,top
U201,65.025,-45.46,270.0,top
