Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C18, C2, C20, C23, C25, C28, C30, C33",0603,11,100nf,
"C10, C5, C6, C8",0603,4,10uf,
"C12, C3, C4, C7, C9",0603,5,1uf,
"C17, C22, C27, C32",0603,4,3.3uF,
"CN1, CN2",CONN-SMD_BM04B-SRSS-TB,2,BM04B-SRSS-TB(LF)(SN),C160390
"CN3, CN4, CN5, CN6",CONN-TH_3P-P4.20_39302030,4,39302030,C589033
"D1, D2",SOT-143,2,SP0503BAHT,
"D3, D4, D5, D6",SOT-416,4,RCLAMP0502B,
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8",0603,8,FerriteBead,C85824
J1,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,C5383105
"R1, R3, R5, R7, R9",0603,5,10k,
"R2, R4, R6, R8",0603,4,5.1M,
U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,ADM7150ARDZ-5.0,C208034
U2,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,C37593
