Designator,Mid X,Mid Y,Rotation,Layer
C1,53.0,-53.275,90.0,top
C10,40.6,-24.575,90.0,top
C12,56.1,-33.875,90.0,top
C13,54.5,-33.875,90.0,top
C15,55.0,-37.0,90.0,top
C17,56.5,-37.0,90.0,top
C18,73.0,-40.0,270.0,top
C2,53.8,-23.425,90.0,top
C20,52.5,-37.5,0.0,top
C22,52.5,-39.0,0.0,top
C23,54.775,-48.0,0.0,top
C25,48.5,-37.5,180.0,top
C27,48.5,-39.0,180.0,top
C28,32.5,-40.0,270.0,top
C3,54.6,-53.25,90.0,top
C30,46.0,-37.0,90.0,top
C32,44.5,-37.0,90.0,top
C33,17.5,-40.275,270.0,top
C4,52.2,-23.425,90.0,top
C5,56.2,-53.25,90.0,top
C6,50.6,-23.425,90.0,top
C7,51.225,-27.6,180.0,top
C8,43.0,-21.575,90.0,top
C9,41.0,-27.775,90.0,top
CN1,50.8,-57.275,180.0,top
CN2,57.6,-18.6,0.0,top
CN3,78.25,-44.7125,180.0,top
CN4,63.75,-44.7125,180.0,top
CN5,39.25,-44.65,180.0,top
CN6,24.25,-44.7125,180.0,top
D1,50.4,-53.075,270.0,top
D2,57.0,-22.8,180.0,top
D3,74.5,-49.15,270.0,top
D4,60.5,-49.15,270.0,top
D5,36.0,-48.9375,270.0,top
D6,20.5,-49.15,270.0,top
FB1,71.5,-40.0,90.0,top
FB2,79.0,-40.0,90.0,top
FB3,54.7875,-46.5,180.0,top
FB4,55.5,-43.5,90.0,top
FB5,34.0,-40.0,90.0,top
FB6,40.0,-39.7875,90.0,top
FB7,19.0,-40.2875,90.0,top
FB8,25.0,-40.0,90.0,top
J1,24.27,-30.83,90.0,top
R1,51.2,-25.8,180.0,top
R2,60.325,-33.0,180.0,top
R3,58.0,-37.0,270.0,top
R4,55.675,-40.0,180.0,top
R5,52.5,-40.5,180.0,top
R6,45.0,-40.0,0.0,top
R7,48.5,-40.5,0.0,top
R8,40.825,-34.5,0.0,top
R9,43.0,-37.0,270.0,top
U1,45.8,-26.2,180.0,top
U2,50.5,-35.1,180.0,top
