Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C204, C401, C404",0603,4,4.7uF,
"C202, C203, C301, C303, C305, C402, C403, C603",0603,8,1uF,
"C302, C304, C504, C505, C604, C702",0603,6,100nF,
"C501, C502, C503, C601, C602, C701",0603,6,10uF,
CN601,CONN-TH_SM06B-GHS-TB-LF-SN,1,SM06B-GHS-TB(LF)(SN),C133065
CN701,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,1,SM04B-SRSS-TB (LF)(SN),C160404
"Q701, Q702",SOT-23,2,BSS138,
"R201, R302, R401",0603,3,10k,
R301,0603,1,1k,
"R701, R702",0603,2,4.7k,
"U201, U401",SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,2,TPS7A2033PDBVR,C2862740
U301,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U302,WSON-14_L4.0-W4.0-P0.50-BL-EP-1,1,LMP91000SDX/NOPB,C2651584
U501,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,1,SCD41-D-R2,
