Designator,Mid X,Mid Y,Rotation,Layer
C201,58.75,-18.25,90.0,top
C202,57.25,-18.25,90.0,top
C203,51.0,-17.25,90.0,top
C204,49.25,-17.25,90.0,top
C301,26.725,-79.09,0.0,top
C302,26.75,-77.59,0.0,top
C303,30.25,-79.93,180.0,top
C304,30.25,-78.43,180.0,top
C305,29.5,-71.0,180.0,top
C401,57.0,-78.6,90.0,top
C402,55.4,-78.6,90.0,top
C403,49.6,-78.6,90.0,top
C404,48.0,-78.6,90.0,top
C501,29.25,-15.4,0.0,top
C502,26.25,-13.9,180.0,top
C503,26.25,-29.5,180.0,top
C504,26.25,-28.0,180.0,top
C505,26.25,-15.4,180.0,top
C601,35.25,-45.25,0.0,top
C602,35.25,-46.75,0.0,top
C603,32.225,-46.75,180.0,top
C604,32.225,-45.25,180.0,top
C701,20.81,-43.45,90.0,top
C702,19.31,-43.45,90.0,top
CN601,30.75,-41.5,180.0,top
CN701,15.5,-45.25,270.0,top
Q701,19.0,-33.5,0.0,top
Q702,14.8575,-33.5125,0.0,top
R201,54.25,-14.5,0.0,top
R301,29.5,-69.5,0.0,top
R302,21.5,-71.68,180.0,top
R401,59.75,-78.25,90.0,top
R701,19.3575,-30.7625,0.0,top
R702,15.1075,-30.5125,0.0,top
U201,53.65,-16.95,180.0,top
U301,30.75,-74.75,180.0,top
U302,25.5,-74.34,0.0,top
U401,52.15,-78.225,180.0,top
U501,28.25,-21.5,0.0,top
