Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C21, C3",0603,4,1uf,
"C10, C11, C9",0805,3,22uf,
"C12, C14, C15, C18, C7",0603,5,100nf,
"C13, C17, C23, C25, C26, C6, C8",0603,7,10uf,
C16,0603,1,470pf,
"C2, C20",0603,2,2.7nf,
C22,0603,1,6.8uf,
C24,0603,1,0.1uf,
C27,0603,1,47uf,
"C4, C5",0805,2,10uf,
"CN1, CN2, CN3",CONN-SMD_BM04B-SRSS-TB,3,BM04B-SRSS-TB(LF)(SN),C160390
"D1, D7",SOD-123_L2.7-W1.6-LS3.7-RD,2,1.8V,C150464
"D2, D3, D4, D5, D6, D8",0603,6,LED,C2286
"F1, F2",1206,2,2A,C2924939
"JP1, JP2",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,2,JP1,
L1,L_Coilcraft_XAL4020-XXX,1,1uH,C4555951
"Protect1, Protect2",VQFN-10_L2.0-W2.0-P0.45-TL,2,LM73100RPWR,C3210761
"Q1, Q4",SOT-23,2,2N7002,
"Q2, Q3",SOT-23,2,MMBT3904,
"R1, R38, R4, R41",0603,4,470k,
R10,0603,1,332k,
R11,0603,1,51k,
"R12, R18, R19, R20, R21, R22, R44, R7, R9",0603,9,10k,
"R14, R15",0603,2,470,
"R16, R17, R30",0603,3,12k,
"R2, R39",0603,2,196k,
"R23, R24, R25",0603,3,4.7k,
"R26, R29, R32, R35, R45, R8",0603,6,150,
R27,0603,1,5.6k,
"R28, R31, R34, R37",0603,4,1k,
"R3, R40",0603,2,54.9k,
R33,0603,1,68k,
R36,0603,1,680k,
"R42, R5",0603,2,4120,
"R43, R6",0603,2,249k,
"SW1, SW2",KEY-SMD_B3U-1000PM,2,B3U-1000P,C231329
U1,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS63070RNMR,C109322
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U4,ESP-12E,1,ESP-12F,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,LM339,C350549
U6,CONN-SMD_2061-602-998-404,1,2061-602/998-404,C2765058
U7,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,SPX3940AM3-L-3-3/TR,C48252
U8,SOT-223_L6.7-W3.5-P2.30-BR,1,AMS1117-5.0_C347223,C347223
U9,CONN-TH_3P-P2.50_A2501WV2-3P,1,B3B-XH-A(LF)(SN),C144394
USB1,MICRO-USB-SMD_MICROXNJ,1,MICROXNJ,C404969
