Designator,Mid X,Mid Y,Rotation,Layer
C1,26.975,-48.75,180.0,top
C10,46.35,-63.5,0.0,top
C11,46.35,-65.5,0.0,top
C12,31.302,-25.3625,180.0,top
C13,24.162,-31.5875,270.0,top
C14,25.662,-31.5875,270.0,top
C15,32.137,-36.3875,180.0,top
C16,40.45,-23.25,90.0,top
C17,38.95,-37.275,270.0,top
C18,40.45,-37.275,270.0,top
C19,79.0,-43.687352,90.0,top
C2,29.975,-52.75,0.0,top
C20,75.0,-46.687352,270.0,top
C21,73.5,-44.687352,90.0,top
C22,62.7,-45.945,90.0,top
C23,60.7,-42.745,270.0,top
C24,60.7,-45.945,90.0,top
C25,27.925,-59.9,180.0,top
C26,23.7,-59.9,180.0,top
C27,64.8,-42.2,0.0,top
C3,27.975,-54.25,180.0,top
C4,46.4,-49.5,0.0,top
C5,46.4,-51.5,0.0,top
C6,45.4,-54.225,270.0,top
C7,40.4,-56.5,270.0,top
C8,45.4,-58.725,90.0,top
C9,46.35,-61.5,0.0,top
CN1,69.2,-71.0,180.0,top
CN2,61.8,-71.0,180.0,top
CN3,54.6,-71.0,180.0,top
D1,32.25,-48.75,0.0,top
D2,25.5375,-22.5,0.0,top
D3,71.342499,-63.727,0.0,top
D4,71.342499,-60.727,0.0,top
D5,71.267499,-57.727,0.0,top
D6,71.342499,-54.727,0.0,top
D7,79.0,-48.962352,270.0,top
D8,71.0,-32.7125,270.0,top
F1,23.85,-45.75,0.0,top
F2,82.0,-40.562352,270.0,top
L1,50.4,-56.5,270.0,top
Protect1,26.84,-51.52,0.0,top
Protect2,76.23,-43.552352,270.0,top
Q1,17.513,-53.1875,90.0,top
Q2,36.212,-42.3625,90.0,top
Q3,32.277,-42.3875,90.0,top
Q4,74.0,-33.5,0.0,top
R1,23.425,-48.25,0.0,top
R10,42.4,-60.325,90.0,top
R11,40.9,-60.325,90.0,top
R12,38.9,-50.0,270.0,top
R14,27.027,-37.0625,270.0,top
R15,28.777,-37.0625,90.0,top
R16,31.602,-39.575,180.0,top
R17,34.952,-39.575,0.0,top
R18,39.125,-26.5,0.0,top
R19,38.25,-23.325,90.0,top
R2,23.425,-49.75,0.0,top
R20,62.928507,-40.46539,0.0,top
R21,62.925,-36.5,180.0,top
R22,62.925,-38.5,180.0,top
R23,62.925,-34.5,180.0,top
R24,62.925,-32.5,180.0,top
R25,39.45,-34.5,0.0,top
R26,68.304999,-63.727,0.0,top
R27,57.169999,-64.202,90.0,top
R28,58.669999,-64.202,270.0,top
R29,68.304999,-60.727,0.0,top
R3,23.425,-51.25,0.0,top
R30,63.169999,-64.202,90.0,top
R31,64.669999,-64.202,270.0,top
R32,68.229999,-57.727,0.0,top
R33,58.669999,-53.202,270.0,top
R34,56.669999,-53.202,90.0,top
R35,68.304999,-54.727,0.0,top
R36,64.669999,-53.202,270.0,top
R37,63.169999,-53.202,90.0,top
R38,79.5,-40.137352,270.0,top
R39,78.0,-40.137352,270.0,top
R4,23.425,-53.25,0.0,top
R40,76.5,-40.137352,270.0,top
R41,74.5,-40.137352,270.0,top
R42,77.0,-48.962352,90.0,top
R43,73.0,-40.137352,270.0,top
R44,79.0,-34.325,270.0,top
R45,69.5,-32.675,270.0,top
R5,32.25,-50.75,180.0,top
R6,23.425,-54.75,0.0,top
R7,17.638,-48.75,0.0,top
R8,25.5,-21.0,180.0,top
R9,40.4,-50.0,270.0,top
SW1,43.5,-40.75,0.0,top
SW2,49.4,-40.8,0.0,top
TP1,44.65,-46.25,270.0,top
TP2,38.9,-53.0,270.0,top
TP3,44.65,-68.5,270.0,top
U1,43.08,-56.5,270.0,top
U2,32.277,-22.3625,90.0,top
U3,31.912,-31.6125,0.0,top
U4,50.35,-26.0,0.0,top
U5,60.479999,-58.727,180.0,top
U6,67.5,-22.5,270.0,top
U7,55.4,-44.2,180.0,top
U8,26.8,-65.0,270.0,top
U9,36.365,-70.085,0.0,top
USB1,32.197,-16.2925,180.0,top
