Designator,Mid X,Mid Y,Rotation,Layer
C1,116.4,-65.375,270.0,top
C2,118.4,-65.375,270.0,top
C3,122.6,-59.4,180.0,top
C301,87.95,-117.6,0.0,top
C302,92.2,-110.6,180.0,top
C303,97.38,-114.0575,270.0,top
C306,109.2,-104.1,90.0,top
C307,107.7,-104.1,90.0,top
C308,106.2,-104.1,90.0,top
C309,112.2,-104.6,90.0,top
C310,115.55,-100.05,270.0,top
C311,121.75,-100.05,270.0,top
C312,111.7,-114.85,270.0,top
C313,107.2,-112.6,180.0,top
C314,107.45,-108.35,180.0,top
C315,107.45,-106.85,180.0,top
C4,117.8,-52.6,90.0,top
C5,124.0,-52.6,90.0,top
C501,40.6875,-99.9,180.0,top
C502,40.6875,-106.75,180.0,top
C503,166.055,-62.845,0.0,top
C504,166.055,-65.355,0.0,top
C505,166.055,-67.865,0.0,top
C506,166.055,-70.375,0.0,top
C507,166.055,-72.885,0.0,top
C508,166.055,-75.395,0.0,top
C509,166.055,-77.905,0.0,top
C510,170.065,-62.845,0.0,top
C511,170.065,-65.355,0.0,top
C512,170.065,-67.865,0.0,top
C513,170.065,-70.375,0.0,top
C514,170.065,-72.885,0.0,top
C515,170.065,-75.395,0.0,top
C516,170.065,-77.905,0.0,top
C6,127.4,-63.0,0.0,top
L501,147.9,-67.2325,0.0,top
L502,147.9,-78.5175,0.0,top
L503,147.9,-89.8025,0.0,top
L504,147.9,-101.0875,0.0,top
R1,128.2,-60.6,270.0,top
R2,127.4,-64.6,180.0,top
R3,125.0,-63.8,270.0,top
R301,87.95,-119.1,0.0,top
R302,95.63,-114.0825,90.0,top
R303,117.7,-114.85,90.0,top
R304,116.2,-114.85,270.0,top
R305,114.7,-114.85,90.0,top
R306,113.2,-114.855,270.0,top
R307,108.7,-114.85,90.0,top
R308,110.2,-114.85,270.0,top
R309,105.7,-114.85,90.0,top
R310,107.2,-114.85,270.0,top
R311,103.7,-114.85,270.0,top
R312,100.2,-108.85,180.0,top
R313,100.2,-106.1,180.0,top
R501,174.075,-62.845,0.0,top
R502,174.075,-65.355,0.0,top
R503,174.075,-67.865,0.0,top
R504,174.075,-70.375,0.0,top
R505,174.075,-72.885,0.0,top
U1,109.4,-54.0,90.0,top
U201,58.85,-57.44,0.0,top
U301,95.9875,-110.3,0.0,top
U302,111.525,-109.675,90.0,top
U401,122.0,-62.0,180.0,top
U501,56.5625,-105.5,0.0,top
USBC301,86.2,-110.6,270.0,top
