Designator,Mid X,Mid Y,Rotation,Layer
C1,115.3,-30.35,270.0,top
C10,36.82,-36.55,180.0,top
C11,36.82,-34.15,180.0,top
C12,47.25,-28.25,180.0,top
C13,107.825,-42.0825,270.0,top
C14,108.525,-36.5825,0.0,top
C15,109.325,-38.9825,90.0,top
C16,107.825,-38.9825,90.0,top
C17,121.29,-54.8,270.0,top
C18,119.79,-54.8,270.0,top
C2,137.525,-42.85,0.0,top
C3,105.55,-30.1,90.0,top
C4,115.3,-27.1,90.0,top
C5,134.2,-47.8,180.0,top
C6,48.12,-37.95,0.0,top
C7,47.2575,-35.85,0.0,top
C8,47.2575,-33.85,0.0,top
C9,41.2825,-29.65,270.0,top
CN1,25.3,-46.5,90.0,top
CN10,70.7,-97.3,90.0,top
CN11,70.7,-105.8,90.0,top
CN12,70.7,-113.8,90.0,top
CN13,105.125,-85.15,0.0,top
CN14,105.7,-97.3,90.0,top
CN15,105.7,-105.8,90.0,top
CN16,105.7,-113.8,90.0,top
CN17,140.125,-85.15,0.0,top
CN18,140.7,-97.3,90.0,top
CN19,140.7,-105.8,90.0,top
CN2,55.05,-46.5,90.0,top
CN20,140.7,-113.8,90.0,top
CN3,84.8,-46.5,90.0,top
CN4,146.56,-61.2,270.0,top
CN5,35.025,-85.0875,0.0,top
CN6,35.7,-97.3,90.0,top
CN7,35.7,-105.8,90.0,top
CN8,35.7,-113.8,90.0,top
CN9,70.125,-85.0875,0.0,top
D1,138.4,-27.7,90.0,top
D2,34.4,-76.2,180.0,top
D3,22.275,-81.8,0.0,top
D4,69.4,-76.2,180.0,top
D5,57.275,-81.3,0.0,top
D6,104.5,-76.0,180.0,top
D7,92.275,-81.8,0.0,top
D8,139.75,-76.5,180.0,top
D9,127.275,-81.8,0.0,top
FH1,21.2,-87.3,0.0,top
FH10,91.2,-97.3,0.0,top
FH11,91.2,-105.8,0.0,top
FH12,91.2,-113.8,0.0,top
FH13,126.2,-87.3,0.0,top
FH14,126.2,-97.3,0.0,top
FH15,126.2,-105.8,0.0,top
FH16,126.2,-113.8,0.0,top
FH2,21.2,-97.3,0.0,top
FH3,21.2,-105.8,0.0,top
FH4,21.2,-113.8,0.0,top
FH5,56.2,-87.3,0.0,top
FH6,56.2,-97.3,0.0,top
FH7,56.2,-105.8,0.0,top
FH8,56.2,-113.8,0.0,top
FH9,91.2,-87.3,0.0,top
L1,41.82,-35.25,180.0,top
Q1,141.06,-66.2,180.0,top
Q2,141.06,-59.2,180.0,top
R1,112.8,-29.6,0.0,top
R10,43.75,-27.25,0.0,top
R11,47.25,-26.75,0.0,top
R12,47.2325,-29.75,0.0,top
R13,141.56,-61.95,0.0,top
R14,141.485,-63.7,0.0,top
R15,105.425,-34.7825,0.0,top
R16,43.2,-80.175,270.0,top
R17,44.8,-80.2,90.0,top
R18,34.4,-77.8,0.0,top
R19,78.4,-80.0,270.0,top
R2,120.55,-47.6,90.0,top
R20,80.0,-80.0,90.0,top
R21,69.4,-77.8,0.0,top
R22,113.5,-80.0,270.0,top
R23,115.0,-80.0,90.0,top
R24,104.5,-78.0,0.0,top
R25,142.25,-79.5,270.0,top
R26,146.5,-79.5,90.0,top
R27,139.775,-78.25,0.0,top
R3,122.55,-47.6,90.0,top
R4,126.7,-50.8,0.0,top
R5,126.7,-52.8,180.0,top
R6,137.55,-44.6,180.0,top
R7,138.7,-51.3,0.0,top
R8,138.7,-53.3,180.0,top
R9,139.9,-27.7,270.0,top
SW1,112.5,-33.5,0.0,top
SW2,139.2,-31.6,180.0,top
U1,132.7,-51.3,180.0,top
U2,125.9,-31.74,0.0,top
U3,43.8825,-30.25,270.0,top
U4,102.5,-38.5825,180.0,top
U5,115.29,-53.8,180.0,top
U6,18.2,-75.3,180.0,top
U7,53.2,-75.3,180.0,top
U8,88.2,-75.3,180.0,top
U9,123.2,-75.3,180.0,top
