Designator,Mid X,Mid Y,Rotation,Layer
C1,115.3,-30.35,270.0,top
C10,110.6245,-84.5,180.0,top
C11,116.5995,-86.232,90.0,top
C12,121.062,-79.332,0.0,top
C13,121.062,-81.732,0.0,top
C14,110.632,-87.632,0.0,top
C15,107.825,-42.0825,270.0,top
C16,108.525,-36.5825,0.0,top
C17,109.325,-38.9825,90.0,top
C18,107.825,-38.9825,90.0,top
C19,102.5,-48.25,0.0,top
C2,137.525,-42.85,0.0,top
C20,102.5,-49.75,0.0,top
C21,102.425,-75.0175,0.0,top
C22,97.925,-74.0175,270.0,top
C23,99.425,-71.2675,90.0,top
C24,102.425,-78.2675,0.0,top
C25,134.5,-59.15,180.0,top
C26,135.4175,-50.4,180.0,top
C27,110.0,-73.0,180.0,top
C28,114.75,-73.0,0.0,top
C3,105.55,-30.1,90.0,top
C4,115.3,-27.1,90.0,top
C5,81.73,-55.0,0.0,top
C6,132.75,-80.25,270.0,top
C7,102.425,-73.5175,0.0,top
C8,110.0,-76.25,180.0,top
C9,110.0,-79.5,180.0,top
CN1,90.083333,-89.4175,0.0,top
CN13,100.75,-89.4175,0.0,top
CN2,79.416667,-89.4175,0.0,top
CN3,143.8075,-62.25,90.0,top
CN4,111.25,-60.825,180.0,top
CN5,68.75,-89.4175,0.0,top
D1,138.4,-27.7,90.0,top
D2,82.0,-48.0,90.0,top
D3,84.75,-85.335,90.0,top
D4,102.575,-63.75,0.0,top
D5,99.3625,-63.75,0.0,top
L1,116.2,-80.382,0.0,top
Q1,106.25,-55.325,90.0,top
Q2,113.25,-55.325,90.0,top
R1,112.8,-29.6,0.0,top
R10,110.5,-55.825,270.0,top
R11,108.75,-55.75,270.0,top
R12,105.425,-34.7825,0.0,top
R13,102.425,-76.7675,0.0,top
R14,102.425,-79.7675,0.0,top
R15,127.0,-62.65,180.0,top
R16,127.0,-61.15,0.0,top
R17,127.9175,-52.4,0.0,top
R18,101.85,-71.5175,0.0,top
R19,99.325,-67.0,0.0,top
R2,110.5,-48.925,90.0,top
R20,127.9175,-53.9,180.0,top
R21,125.5,-46.75,270.0,top
R22,124.0,-46.75,270.0,top
R3,112.5,-48.925,90.0,top
R4,137.55,-44.6,180.0,top
R5,139.9,-27.7,270.0,top
R6,102.575,-67.0,0.0,top
R7,114.132,-88.632,180.0,top
R8,110.632,-89.132,180.0,top
R9,110.6495,-86.132,180.0,top
SW1,111.75,-33.25,0.0,top
SW3,139.0,-32.0,0.0,top
U1,125.9,-31.74,0.0,top
U17,132.73,-62.75,180.0,top
U19,93.7395,-75.0205,0.0,top
U2,119.0,-90.382,90.0,top
U3,113.9995,-85.632,90.0,top
U4,102.5,-38.5825,180.0,top
U5,101.5,-54.25,270.0,top
U6,123.15,-89.4945,270.0,top
U7,133.6475,-54.0,180.0,top
