Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C17, C9",0603,4,10uf,
"C10, C12, C18, C19, C23, C4",0603,6,100nF,
"C11, C13, C15, C16, C2, C5, C7, C8",0603,8,1uF,
"C20, C21",0603,2,2.2uF,
C22,0603,1,470nF,
C24,CAP-SMD_L7.3-W4.3-FD,1,330uF,C2159214
C3,C_Elec_5x5.8,1,22uF,C336246
C6,0603,1,10nF,
CN1,CONN-SMD_BM04B-SRSS-TB,1,BM04B-SRSS-TB(LF)(SN),C160390
D1,0603,1,LED,C2290
D2,0603,1,LED,C2286
F1,FUSE-SMD_L9.8-W5.0_01550900M,1,Fuse,C108518
J2,Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal,1,Conn_01x02,C240832
J3,Molex_Nano-Fit_105310-xx04_2x02_P2.50mm_Vertical,1,Conn_01x04,C5271185
"J5, J6",Molex_Nano-Fit_105309-xx02_1x02_P2.50mm_Vertical,2,Conn_01x02,C2938824
J7,Molex_Nano-Fit_105310-xx10_2x05_P2.50mm_Vertical,1,Conn_02x05_Top_Bottom,C561763
PS1,Converter_ACDC_MeanWell_IRM-20-xx_THT,1,IRM-20-5,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R10, R2, R3, R4, R8, R9",0603,7,10k,
R13,0603,1,634kΩ,
R14,0805,1,10k,
R15,0603,1,1.5k,
R16,0603,1,1k,
"R17, R18",0603,2,3.6k,
R19,0603,1,53.6k,
"R5, R6",0603,2,20,
R7,0603,1,330,
RV1,RV_Disc_D12mm_W7.5mm_P7.5mm,1,Varistor,C179027
"SW1, SW2",KEY-TH_4P-L3.5-W4.9-P2.80-LS4.3,2,EVPAA602W,C79148
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U2,SOT-223-6_L6.5-W3.5-P1.27-LS7.0-BR,1,TPS73733DCQ_C5220270,C5220270
U3,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,C37593
U4,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,C910544
U5,VQFN-10_L2.0-W2.0-P0.45-TL,1,LM73100RPWR,C3210761
U6,MIC-SMD_6P-L3.5-W2.7-P0.90-BL,1,ICS-43434_C5656610,C5656610
U7,QFN-30_L5.0-W5.0-P0.40-TL_MP5048GU-Z,1,MP5048AGU-Z,C22431725
