Designator,Mid X,Mid Y,Rotation,Layer
C1,78.103127,-43.863127,180.0,top
C10,42.1,-44.0,0.0,top
C11,60.75,-37.75,0.0,top
C12,60.75,-39.25,0.0,top
C13,62.961873,-41.538127,0.0,top
C14,48.75,-29.25,270.0,top
C15,47.25,-29.25,270.0,top
C16,42.25,-28.75,180.0,top
C17,42.25,-30.25,180.0,top
C18,77.75,-73.0,90.0,top
C19,51.9855,-39.997,0.0,top
C2,71.25,-66.475,270.0,top
C20,48.0,-32.5,90.0,top
C21,48.0,-35.525,270.0,top
C22,51.9855,-36.747,0.0,top
C23,51.9855,-35.247,0.0,top
C24,34.0,-23.25,180.0,top
C3,78.3125,-34.25,0.0,top
C4,81.273127,-43.713127,0.0,top
C5,47.5,-56.75,90.0,top
C6,54.75,-61.42375,270.0,top
C7,51.37,-62.22375,0.0,top
C8,51.37,-60.72375,0.0,top
C9,42.1,-42.5,0.0,top
CN1,58.882754,-23.452246,0.0,top
D1,80.75,-65.75,0.0,top
D2,26.5,-31.75,90.0,top
F1,28.75,-71.25,0.0,top
J2,25.1,-57.05,0.0,top
J3,69.1,-28.93,270.0,top
J5,36.655,-46.5,0.0,top
J6,69.155,-40.0,0.0,top
J7,34.57,-33.0,180.0,top
PS1,52.125,-48.25,90.0,bottom
Q1,62.644627,-28.055373,270.0,top
Q2,55.644627,-28.055373,270.0,top
R1,78.853127,-41.363127,270.0,top
R10,55.57,-58.32375,270.0,top
R13,45.6,-45.5,180.0,top
R14,69.1625,-35.5,0.0,top
R15,41.25,-22.0,90.0,top
R16,25.0,-31.75,90.0,top
R17,51.9855,-38.497,0.0,top
R18,51.9855,-41.497,0.0,top
R19,51.4105,-33.247,0.0,top
R2,61.7,-49.425,0.0,top
R3,61.7,-50.925,0.0,top
R4,69.5,-66.5,90.0,top
R5,61.703127,-52.563127,180.0,top
R6,61.703127,-54.063127,180.0,top
R7,80.75,-67.25,180.0,top
R8,58.394627,-27.555373,90.0,top
R9,60.144627,-27.630373,90.0,top
RV1,32.6,-60.125,270.0,top
SW1,75.203127,-40.313127,270.0,top
SW2,74.75,-68.0,270.0,top
U1,76.7,-54.5,270.0,top
U2,51.77,-55.39875,90.0,top
U3,59.75,-43.75,270.0,top
U4,41.79,-46.88,180.0,top
U5,46.02,-24.0,180.0,top
U6,80.0,-72.25,90.0,top
U7,43.3,-36.75,0.0,top
