Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C18",0603,4,10uf,
"C10, C19, C20, C28, C30, C4, C5, C7",0603,8,100nF,
"C11, C9",0603,2,330pF,
"C12, C25",0603,2,10nF,
"C14, C8",0603,2,4.7uF,
"C16, C17, C21, C22, C3",C_Elec_5x5.8,5,22uF,C336246
"C2, C24, C26, C27, C29, C6",0603,6,1uf,
C23,0603,1,75pF,
CN1,CONN-SMD_BM04B-SRSS-TB,1,BM04B-SRSS-TB(LF)(SN),C160390
"CN10, CN14, CN2, CN6",CONN-TH_3P-P4.20_39302030,4,39302030,C589033
"CN11, CN12, CN13, CN15, CN16, CN17, CN3, CN4, CN5, CN7, CN8, CN9",CONN-TH_39288020,12,39288020,C490534
"D1, D2, D3, D4",0603,4,LED,C2286
D5,0603,1,LED,C2290
"D6, D7, D8, D9",D_SMB,4,D_TVS,C151256
"FH1, FH10, FH11, FH12, FH13, FH14, FH15, FH16, FH2, FH3, FH4, FH5, FH6, FH7, FH8, FH9",FUSE-SMD_L9.8-W5.0_01550900M,16,01550900M,C108518
"Q1, Q2",SOT-23,2,BSS138,
"R1, R15, R16, R17, R2, R21, R22, R23, R3, R4, R6",0603,11,10k,
R10,0603,1,9.31k,
"R11, R7",0603,2,162k,
"R12, R8",0603,2,38.3k,
R13,0603,1,196k,
R14,0603,1,2.2k,
R18,0603,1,49.9,
R19,0603,1,100k,
R20,0603,1,13.3k,
"R24, R25, R26, R27",0603,4,1.5k,
"R28, R29, R30, R31",0603,4,4.7k,
"R32, R33, R34, R35",0603,4,3.3k,
"R36, R37, R38, R39",0603,4,82,
R40,0603,1,330,
R5,0603,1,1M,
R9,0603,1,191k,
"SW1, SW2",KEY-SMD_B3U-1000PM,2,KEY-SMD_B3U-1000PM,C231329
U1,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,SN74AHCT125PWR,C36365
"U10, U11, U8, U9",PG-TSDSO-14_L4.9-W3.9-P0.65-LS6.0-BL-EP,4,BTS70021EPPXUMA1,C2680407
U12,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,C37593
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,TPD6S300A,
U4,Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4,1,TPS25730D,
U5,SOT-23-6,1,TPS54202DDC,
U6,IND-SMD_L11.6-W10.1,1,CYA1040-15UH,C6364678
U7,SOT-223-6_L6.5-W3.5-P1.27-LS7.0-BR,1,TPS73733DCQ_C5220270,C5220270
USBC1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
