Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP-SMD_BD8.0-L8.3-W8.3-FD,2,220uF,C2923769
"C10, C9",1206,2,10uF,C2803389
C11,0402,1,100nF,
"C12, C13, C14",CAP-SMD_L7.3-W4.3-FD,3,330uF,C2159214
C15,0402,1,15nF,
"C3, C4, C5, C6",1210,4,10uF,C77102
C7,0402,1,47nF,
C8,0402,1,47pF,
"CN1, CN2",CONN-SMD_2P-P2.54_105430-1102,2,105430-1102,C2976139
"D5, D6",WSON-6_L2.0-W2.0-P0.65-BL-EP,2,TVS2700DRVR,C523797
R1,0402,1,162k,
R10,0402,1,100,
R2,0402,1,73.2k,
R3,0402,1,10k,
R4,0402,1,470k,
R5,0402,1,45.3k,
R6,0402,1,147k,
R7,0402,1,562,
R8,0402,1,100k,
R9,0402,1,34k,
TP1,TestPoint_Pad_1.0x1.0mm,1,TestPoint,
U1,B3QFN-19_L5.5-W5.0-P0.50-TL,1,TPSM86837RCGR,C34572614
U2,VQFN-10_L2.0-W2.0-P0.45-TL,1,TPS259474LRPWR,C2864845
