Designator,Mid X,Mid Y,Rotation,Layer
C1,80.615,-67.0,180.0,top
C10,103.365,-69.75,90.0,top
C11,111.75,-63.25,90.0,top
C12,133.865,-44.75,0.0,top
C13,103.615,-44.75,0.0,top
C14,70.365,-44.75,0.0,top
C15,108.23,-63.75,180.0,top
C2,121.845,-66.75,0.0,top
C3,90.865,-69.75,90.0,top
C4,94.115,-65.0,270.0,top
C5,94.115,-69.75,90.0,top
C6,90.865,-65.0,270.0,top
C7,97.0,-65.02,90.0,top
C8,99.0,-65.0,270.0,top
C9,103.365,-65.0,270.0,top
CN1,135.455,-66.98,90.0,top
CN2,66.09,-67.23,270.0,top
D5,73.35,-66.75,180.0,top
D6,128.9,-67.52,0.0,top
R1,101.0,-65.0,90.0,top
R10,110.75,-63.25,90.0,top
R2,100.0,-65.0,270.0,top
R3,98.0,-65.0,270.0,top
R4,108.045,-68.4,90.0,top
R5,109.045,-68.4,90.0,top
R6,110.045,-68.4,270.0,top
R7,108.25,-62.75,180.0,top
R8,112.0,-68.4,270.0,top
R9,111.045,-68.4,270.0,top
U1,99.12,-69.0,270.0,top
U2,110.0,-65.75,90.0,top
