Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C302, C502, C503, C506, C516, C701, C703, C704",0603,9,1uf,
"C202, C312, C313, C404, C405, C507, C508, C514, C515",C_Elec_5x5.8,9,22uF,C336246
"C203, C301, C303, C306, C402, C403, C504, C505, C513",0603,9,100nF,
"C204, C309, C311, C401",0603,4,10uf,
"C304, C310, C501",0603,3,4.7uF,
"C305, C307",0603,2,330pF,
"C308, C702",0603,2,10nF,
C406,0603,1,75pF,
"C509, C510, C511, C512",CAP-TH_L9.5-W3.7-P7.50-D0.5,4,MPP474J2A0701,C3019096
CN701,CONN-SMD_BM04B-SRSS-TB,1,BM04B-SRSS-TB(LF)(SN),C160390
"L501, L502, L503, L504",IND-SMD_L11.0-W10.2,4,SL1040-100M,C22463839
"LED201, LED202, LED203, LED204, LED205, LED206, LED207, LED208, LED209",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,9,WS2812B-2020,C965555
"Q701, Q702",SOT-23,2,BSS138,
"R201, R202, R203, R204, R302, R311, R312, R313, R501, R502, R503, R504, R701, R702, R703",0603,15,10k,
R301,0603,1,1M,
R303,0603,1,162k,
R304,0603,1,37.4,
"R305, R308",0603,2,191k,
"R306, R307",0603,2,9.31k,
R309,0603,1,196k,
R310,0603,1,2.2k,
R401,0603,1,49.9,
R402,0603,1,100k,
R403,0603,1,13.3k,
R505,0603,1,0,
"SW201, SW202",KEY-SMD_B3U-1000PM,2,KEY-SMD_B3U-1000PM,C231329
U201,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U301,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,TPD6S300A,
U302,Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4,1,TPS25730D,
U401,SOT-23-6,1,TPS54202DDC,
U402,IND-SMD_L11.6-W10.1,1,CYA1040-15UH,C6364678
U501,VQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,TAS5825MRHB,
"U502, U503, U504, U505",CAP-TH_L12.0-W5.8-P10.00-D0.6,4,MPP684J2S1001,C3019017
U701,SOT-223-6_L6.5-W3.5-P1.27-LS7.0-BR,1,TPS73733DCQ_C5220270,C5220270
USBC301,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
