Designator,Mid X,Mid Y,Rotation,Layer
C201,68.975,-62.75,0.0,top
C202,37.0,-50.0,90.0,top
C203,46.75,-47.0,90.0,top
C204,46.75,-50.25,270.0,top
C301,27.0,-101.0,0.0,top
C302,36.43,-97.4575,270.0,top
C303,31.25,-94.0,180.0,top
C304,45.25,-87.5,90.0,top
C305,46.5,-90.25,180.0,top
C306,46.75,-87.5,90.0,top
C307,46.5,-91.75,180.0,top
C308,48.25,-87.5,90.0,top
C309,46.25,-96.0,180.0,top
C310,50.75,-98.25,270.0,top
C311,51.25,-88.0,90.0,top
C312,54.6,-83.45,270.0,top
C313,60.8,-83.45,270.0,top
C401,68.225,-92.0,180.0,top
C402,68.225,-94.0,180.0,top
C403,74.2,-98.2,90.0,top
C404,81.0,-93.4,0.0,top
C405,81.0,-99.6,0.0,top
C406,70.6,-103.0,270.0,top
C501,60.97684,-125.41948,0.0,top
C502,50.97684,-124.41948,180.0,top
C503,60.97684,-121.61948,0.0,top
C504,60.97684,-123.81948,0.0,top
C505,48.57684,-125.61948,90.0,top
C506,50.97684,-122.81948,180.0,top
C507,35.37684,-123.61948,270.0,top
C508,41.57684,-123.61948,270.0,top
C509,50.82684,-133.82448,180.0,top
C510,61.37684,-133.81448,0.0,top
C511,46.77684,-129.42448,180.0,top
C512,65.22684,-129.21448,0.0,top
C513,63.37684,-125.61948,90.0,top
C514,69.17684,-123.21948,270.0,top
C515,75.37684,-123.21948,270.0,top
C516,27.50184,-114.24448,270.0,top
C701,36.5,-70.2,180.0,top
C702,42.75,-70.2,0.0,top
C703,39.75,-70.2,0.0,top
C704,39.75,-71.7,0.0,top
CN701,86.025,-70.85,270.0,top
L501,72.60934,-141.41948,270.0,top
L502,61.80934,-143.21948,270.0,top
L503,39.95934,-141.01948,270.0,top
L504,51.00934,-143.21948,270.0,top
LED201,76.085,-57.9,180.0,top
LED202,79.885,-57.9,180.0,top
LED203,83.485,-57.95,180.0,top
LED204,76.085,-60.75,180.0,top
LED205,79.885,-60.75,180.0,top
LED206,83.485,-60.75,180.0,top
LED207,76.085,-63.75,180.0,top
LED208,79.885,-63.75,180.0,top
LED209,83.485,-63.75,180.0,top
Q701,80.525,-75.85,180.0,top
Q702,80.525,-68.85,180.0,top
R201,69.0,-64.5,180.0,top
R202,44.25,-49.5,0.0,top
R203,38.70184,-114.21948,270.0,top
R204,44.90184,-114.24448,270.0,top
R301,27.0,-102.5,0.0,top
R302,34.68,-97.4825,90.0,top
R303,56.75,-98.25,90.0,top
R304,55.25,-98.25,270.0,top
R305,53.75,-98.25,90.0,top
R306,52.25,-98.255,270.0,top
R307,47.75,-98.25,90.0,top
R308,49.25,-98.25,270.0,top
R309,44.75,-98.25,90.0,top
R310,46.25,-98.25,270.0,top
R311,42.75,-98.25,270.0,top
R312,39.575,-92.25,180.0,top
R313,39.375,-89.5,180.0,top
R401,73.0,-103.8,180.0,top
R402,69.0,-103.0,90.0,top
R403,69.8,-100.6,180.0,top
R501,69.90184,-114.24448,270.0,top
R502,76.10184,-114.24448,270.0,top
R503,82.30184,-114.24448,270.0,top
R504,32.50184,-114.24448,270.0,top
R505,60.97684,-119.81948,0.0,top
R701,45.5,-68.45,180.0,top
R702,81.025,-71.6,0.0,top
R703,80.95,-73.35,0.0,top
SW201,69.0,-68.6,180.0,top
SW202,43.4,-53.0,0.0,top
U201,57.35,-51.64,0.0,top
U301,35.0375,-93.7,0.0,top
U302,50.575,-93.075,90.0,top
U401,71.6,-97.6,90.0,top
U402,79.6,-85.0,0.0,top
U501,55.73934,-126.36948,180.0,top
U502,77.17684,-153.21948,180.0,top
U503,62.17684,-153.61948,0.0,top
U504,33.57684,-153.21948,0.0,top
U505,49.17684,-153.61948,180.0,top
U701,40.0,-65.2,90.0,top
USBC301,25.25,-94.0,270.0,top
