Designator,Mid X,Mid Y,Rotation,Layer
C1,99.5,-56.25,270.0,top
C14,120.25,-51.5,180.0,top
C2,105.0,-59.75,0.0,top
C3,80.0,-53.25,270.0,top
C4,85.500001,-56.5,0.0,top
R1,112.24,-54.5,180.0,top
R10,82.01,-52.250001,0.0,top
R2,112.25,-57.0,180.0,top
R3,112.25,-55.75,180.0,top
R4,101.5,-57.0,180.0,top
R5,101.51,-55.5,0.0,top
R6,92.74,-51.25,180.0,top
R7,92.75,-53.749999,180.0,top
R8,92.75,-52.5,180.0,top
R9,82.0,-53.75,180.0,top
U1,69.3775,-54.745,270.0,top
U2,107.0,-56.25,0.0,top
U3,87.5,-53.0,0.0,top
