Designator,Mid X,Mid Y,Rotation,Layer
C1,115.3,-30.35,270.0,top
C10,102.65,-59.8755,270.0,top
C11,106.85,-53.9005,180.0,top
C12,99.95,-49.438,90.0,top
C13,102.35,-49.438,90.0,top
C14,108.25,-59.868,90.0,top
C15,107.825,-42.0825,270.0,top
C16,108.525,-36.5825,0.0,top
C17,109.325,-38.9825,90.0,top
C18,107.825,-38.9825,90.0,top
C19,128.75,-54.25,270.0,top
C2,137.525,-42.85,0.0,top
C20,127.25,-54.25,270.0,top
C21,51.4,-188.035,0.0,top
C22,51.4,-191.385,0.0,top
C23,142.5,-192.0,0.0,top
C24,63.7,-176.15,90.0,top
C25,63.7,-171.15,90.0,top
C26,75.0,-152.5,0.0,top
C27,64.75,-77.3,180.0,top
C28,64.75,-78.8,180.0,top
C29,103.75,-77.05,180.0,top
C3,105.55,-30.1,90.0,top
C30,103.75,-78.55,180.0,top
C31,86.44,-152.5,0.0,top
C32,63.94,-152.5,0.0,top
C33,85.27,-174.0,0.0,top
C34,73.5,-174.0,180.0,top
C4,115.3,-27.1,90.0,top
C5,81.75,-54.5,180.0,top
C6,62.5,-70.0,270.0,top
C7,53.5,-171.0,90.0,top
C8,98.55,-60.738,270.0,top
C9,100.65,-59.8755,270.0,top
CN1,73.55,-91.65,0.0,top
CN10,131.5,-88.65,0.0,top
CN13,99.75,-88.9,0.0,top
CN14,138.75,-88.65,0.0,top
CN2,112.55,-91.4,0.0,top
CN3,143.4,-131.85,0.0,top
CN4,146.56,-61.2,270.0,top
CN5,85.25,-88.9,0.0,top
CN6,124.25,-88.65,0.0,top
CN7,99.925,-174.0,90.0,top
CN8,43.48,-188.88,0.0,top
CN9,92.5,-88.9,0.0,top
D1,138.4,-27.7,90.0,top
D2,73.75,-74.5,180.0,top
D3,79.75,-76.05,90.0,top
D4,112.75,-74.4,180.0,top
D5,118.75,-75.8,90.0,top
D6,81.85,-47.5,0.0,top
L1,101.0,-54.3,90.0,top
Q1,141.06,-66.2,180.0,top
Q2,141.06,-59.2,180.0,top
R1,112.8,-29.6,0.0,top
R10,141.56,-61.95,0.0,top
R11,141.485,-63.7,0.0,top
R12,105.425,-34.7825,0.0,top
R15,92.0,-74.05,0.0,top
R16,92.0,-75.55,0.0,top
R17,73.75,-76.0,180.0,top
R18,131.0,-73.8,0.0,top
R19,131.0,-75.3,0.0,top
R2,133.8776,-50.9695,90.0,top
R20,112.75,-76.0,180.0,top
R28,73.5,-82.55,270.0,top
R29,112.5,-82.3,270.0,top
R3,135.8776,-50.9695,90.0,top
R4,137.55,-44.6,180.0,top
R5,139.9,-27.7,270.0,top
R7,109.25,-56.368,270.0,top
R8,109.75,-59.868,270.0,top
R9,106.75,-59.8505,270.0,top
SW1,112.5,-33.5,0.0,top
SW2,139.2,-31.6,180.0,top
U1,125.9,-31.74,0.0,top
U10,111.15,-85.5,180.0,top
U11,73.55,-122.4675,0.0,top
U12,139.995,-219.3725,0.0,top
U13,68.25,-80.05,0.0,top
U14,107.25,-79.8,0.0,top
U15,59.05,-173.5,90.0,top
U16,137.18,-165.74,270.0,top
U17,142.63,-165.77,270.0,top
U18,42.91,-173.6,0.0,top
U19,122.2,-177.7,90.0,top
U2,111.0,-51.5,180.0,top
U3,106.25,-56.5005,180.0,top
U4,102.5,-38.5825,180.0,top
U5,122.75,-53.25,180.0,top
U6,110.1125,-47.35,0.0,top
U7,72.0,-85.5,180.0,top
U8,85.75,-77.8,90.0,top
U9,124.75,-77.55,90.0,top
