Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0402,2,4.7nF,
"C10, C9",CP_EIA-7343-31_Kemet-D,2,33uF,C696815
"C12, C13, C14, C15",1210,4,10uF,C77102
C16,0402,1,47nF,
C17,0402,1,47pF,
"C18, C19",1206,2,10uF,C2803389
"C2, C7",0603,2,100nF,
C20,0402,1,15nF,
C21,0402,1,100nF,
"C22, C23, C24",CAP-SMD_L7.3-W4.3-FD,3,330uF,C2159214
"C25, C3, C4, C5, C8",0603,5,1uF,
"D1, D11, D21, D31, D41",LED_PLCC_2835_Handsoldering,5,White 2700K LED,C17442107
"D10, D15, D20, D25, D30, D35, D40, D45, D5, D50",LED_PLCC_2835_Handsoldering,10,Red LED,C5246339
"D12, D17, D2, D22, D27, D32, D37, D42, D47, D7",LED_PLCC_2835_Handsoldering,10,Amber LED,C1322330
"D13, D18, D23, D28, D3, D33, D38, D43, D48, D8",LED_PLCC_2835_Handsoldering,10,Blue LED,C2843871
"D14, D19, D24, D29, D34, D39, D4, D44, D49, D9",LED_PLCC_2835_Handsoldering,10,Emerald Green LED,C2843870
"D16, D26, D36, D46, D6",LED_PLCC_2835_Handsoldering,5,White 5000K LED,C5220761
D51,WSON-6_L2.0-W2.0-P0.65-BL-EP,1,TVS2700DRVR,C523797
"R1, R10, R17, R2, R9",0402,5,10k,
"R11, R3",0402,2,47,
"R12, R13, R4, R5",0603,4,50,
"R14, R25, R6, R7, R8",0603,5,825,
R15,0402,1,162k,
R16,0402,1,73.2k,
R18,0402,1,470k,
R19,0402,1,45.3k,
R20,0402,1,147k,
R21,0402,1,562Ω,
R22,0402,1,100,
R23,0402,1,100k,
R24,0402,1,34k,
"U1, U5",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,THVD2450DR,C2672621
"U10, U2, U3, U4, U7",HTSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL-EP-1,5,TLC59711PWP,C1554176
U6,CONN-SMD_1054051106,1,1054051106,C17285624
U8,B3QFN-19_L5.5-W5.0-P0.50-TL,1,TPSM86837RCGR,C34572614
U9,VQFN-10_L2.0-W2.0-P0.45-TL,1,TPS259474LRPWR,C2864845
