Designator,Mid X,Mid Y,Rotation,Layer
C1,31.27,-51.3375,0.0,top
C10,143.75,-51.5,180.0,top
C12,190.5,-56.475,90.0,top
C13,193.75,-51.725,270.0,top
C14,193.75,-56.475,90.0,top
C15,190.5,-51.725,270.0,top
C16,196.25,-51.77,90.0,top
C17,198.25,-51.75,270.0,top
C18,202.5,-52.25,270.0,top
C19,202.5,-57.0,90.0,top
C2,33.77,-52.9675,180.0,top
C20,246.555,-57.77,270.0,top
C21,246.055,-54.25,180.0,top
C22,297.15,-53.75,270.0,top
C23,89.75,-56.75,0.0,top
C24,89.75,-51.5,0.0,top
C25,277.75,-49.75,180.0,top
C3,118.75,-49.5,180.0,top
C4,172.0395,-49.548,180.0,top
C5,65.75,-49.5875,180.0,top
C6,31.02,-56.8375,0.0,top
C7,33.75,-58.3375,180.0,top
C8,224.87,-49.7775,180.0,top
C9,143.75,-56.5,180.0,top
D1,101.12,-56.5875,0.0,top
D10,133.75,-55.6875,90.0,top
D11,154.4095,-56.6355,0.0,top
D12,159.6595,-56.6355,180.0,top
D13,160.5395,-52.3605,270.0,top
D14,157.0395,-52.3605,270.0,top
D15,153.5395,-52.3605,270.0,top
D16,186.1595,-51.4605,180.0,top
D17,180.9095,-51.4605,0.0,top
D18,180.0395,-55.6605,90.0,top
D19,183.5395,-55.7105,90.0,top
D2,106.37,-56.5875,180.0,top
D20,187.0395,-55.7355,90.0,top
D21,48.12,-56.675,0.0,top
D22,53.37,-56.675,180.0,top
D23,54.25,-52.4,270.0,top
D24,50.75,-52.4,270.0,top
D25,47.25,-52.4,270.0,top
D26,79.87,-51.5,180.0,top
D27,74.62,-51.5,0.0,top
D28,73.75,-55.7,90.0,top
D29,77.25,-55.75,90.0,top
D3,107.25,-52.3125,270.0,top
D30,80.75,-55.775,90.0,top
D31,207.24,-56.865,0.0,top
D32,212.49,-56.865,180.0,top
D33,213.37,-52.59,270.0,top
D34,209.87,-52.59,270.0,top
D35,206.37,-52.59,270.0,top
D36,238.99,-51.69,180.0,top
D37,233.74,-51.69,0.0,top
D38,232.87,-55.89,90.0,top
D39,236.37,-55.94,90.0,top
D4,103.75,-52.3125,270.0,top
D40,239.87,-55.965,90.0,top
D41,260.12,-56.8375,0.0,top
D42,265.37,-56.8375,180.0,top
D43,266.25,-52.5625,270.0,top
D44,262.75,-52.5625,270.0,top
D45,259.25,-52.5625,270.0,top
D46,291.87,-51.6625,180.0,top
D47,286.62,-51.6625,0.0,top
D48,285.75,-55.8625,90.0,top
D49,289.25,-55.9125,90.0,top
D5,100.25,-52.3125,270.0,top
D50,292.75,-55.9375,90.0,top
D51,28.87,-54.4,90.0,top
D6,132.87,-51.4125,180.0,top
D7,127.62,-51.4125,0.0,top
D8,126.75,-55.6125,90.0,top
D9,130.25,-55.6625,90.0,top
R1,44.25,-51.8375,180.0,top
R10,44.25,-56.0875,180.0,top
R11,44.25,-58.5875,180.0,top
R12,33.75,-56.8375,180.0,top
R13,33.75,-55.3375,0.0,top
R14,221.045,-49.7775,0.0,top
R15,200.25,-51.75,90.0,top
R16,199.25,-51.75,270.0,top
R17,197.25,-51.75,270.0,top
R18,251.205,-57.955,180.0,top
R19,251.205,-56.955,180.0,top
R2,44.25,-50.5875,180.0,top
R20,251.205,-55.955,0.0,top
R21,245.555,-57.75,270.0,top
R22,246.055,-55.25,180.0,top
R23,251.205,-54.0,0.0,top
R24,251.205,-54.955,0.0,top
R25,273.925,-49.75,0.0,top
R3,44.25,-53.0875,180.0,top
R4,33.75,-51.4575,180.0,top
R5,33.75,-49.9575,0.0,top
R6,114.925,-49.5,0.0,top
R7,168.2145,-49.548,0.0,top
R8,61.925,-49.5875,0.0,top
R9,44.25,-57.3375,180.0,top
U1,39.25,-51.3375,0.0,top
U10,276.13,-54.4725,180.0,top
U2,117.13,-54.2225,180.0,top
U3,170.4195,-54.2705,180.0,top
U4,64.13,-54.31,180.0,top
U5,39.25,-56.8375,0.0,top
U6,21.8775,-54.0825,270.0,top
U7,223.25,-54.5,180.0,top
U8,198.37,-55.75,270.0,top
U9,248.555,-56.0,180.0,top
