Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C5, C9",0603,5,100nf,
"C11, C12, C14, C15",1206,4,22uF,
C13,0603,1,75pF,
"C2, C3, C6",0603,3,1uf,
"C7, C8",0603,2,10uf,
"CN1, CN3, CN4, CN5, CN6, CN7, CN8",CONN-TH_2P-P5.50_39-30-1020,7,39-30-1020,C240832
CN2,CONN-SMD_BM04B-SRSS-TB,1,BM04B-SRSS-TB(LF)(SN),C160390
D1,SOT-143,1,SP0503BAHT,
"D2, D4",0603,2,LED,C2286
"D3, D5",D_SMB,2,D_TVS,C151256
FH1,FUSE-SMD_L9.8-W5.0_01550900M,1,01550900M,C108518
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,C7501274
J2,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,C5383105
L1,IND-SMD_L4.0-W4.0_XAL4040-103,1,XGL4040-153MEC,C3911667
"R1, R2, R3, R4",0603,4,10k,
"R10, R16",0603,2,4.7k,
"R11, R17",0603,2,3.3k,
R12,0603,1,49.9,
R13,0603,1,100k,
R14,0603,1,13.3k,
"R15, R9",0603,2,1.5k,
"R5, R6, R7, R8",0805,4,3.3k,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,MCP23008-xML,C144211
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
"U3, U6",PG-TSDSO-14_L4.9-W3.9-P0.65-LS6.0-BL-EP,2,BTS70021EPPXUMA1,C2680407
U4,SOT-23-6,1,TPS54202DDC,
