Designator,Mid X,Mid Y,Rotation,Layer
C1,54.3,-22.425,270.0,top
C10,67.0,-16.75,180.0,top
C11,62.0,-19.5,90.0,top
C12,59.5,-19.5,90.0,top
C13,75.075,-20.0,0.0,top
C14,71.25,-24.75,0.0,top
C15,70.75,-30.5,180.0,top
C2,55.8,-22.4,270.0,top
C3,52.75,-33.5,90.0,top
C4,54.25,-33.5,90.0,top
C5,21.5,-39.9,270.0,top
C6,23.0,-39.9,270.0,top
C7,25.3,-38.0,90.0,top
C8,70.475,-21.25,0.0,top
C9,70.5,-22.75,0.0,top
CN1,76.35,-33.75,90.0,top
CN2,18.4,-38.5,90.0,top
CN3,27.571429,-51.1175,0.0,top
CN4,34.128572,-51.1175,0.0,top
CN5,40.685715,-51.1175,0.0,top
CN6,47.242858,-51.1175,0.0,top
CN7,57.75,-50.85,0.0,top
CN8,73.25,-50.9175,0.0,top
D1,22.7,-36.6,270.0,top
D2,53.75,-54.0,270.0,top
D3,53.5,-45.85,90.0,top
D4,69.25,-54.0,270.0,top
D5,69.0,-45.9175,90.0,top
FH1,79.25,-27.5,180.0,top
J1,28.995,-21.0,0.0,top
J2,33.755,-33.25,180.0,top
L1,66.0,-20.0,270.0,top
R1,36.5,-17.5,0.0,top
R10,62.0,-40.25,270.0,top
R11,52.25,-54.0,270.0,top
R12,75.075,-17.0,0.0,top
R13,75.075,-18.5,180.0,top
R14,75.075,-21.5,0.0,top
R15,76.0,-40.3175,90.0,top
R16,77.5,-40.3175,270.0,top
R17,67.75,-54.0,270.0,top
R2,36.5,-19.0,0.0,top
R3,36.5,-20.5,0.0,top
R4,41.0,-23.5,90.0,top
R5,38.9125,-31.0,180.0,top
R6,42.4125,-31.0,180.0,top
R7,45.9125,-31.0,180.0,top
R8,49.4125,-31.0,180.0,top
R9,60.5,-40.25,90.0,top
U1,50.4,-21.55,0.0,top
U2,58.0,-34.5,90.0,top
U3,62.5,-46.0,180.0,top
U4,70.75,-18.75,180.0,top
U6,78.0,-46.0675,180.0,top
