Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_6.3x5.9,2,47uF,C264034
"C10, C21, C22, C23, C9",0603,5,100nF,
"C11, C13, C14, C17, C18, C20, C24, C3",0603,8,1uF,
C12,0805,1,10nF,
"C15, C16, C19, C25, C26, C8",0603,6,100nF,
C4,0805,1,10uF,
C7,0603,1,1uF,
"CN1, CN2",CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,2,SM04B-SRSS-TB (LF)(SN),C160404
D1,0603,1,LED,C2290
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED4, LED5, LED6, LED7, LED8, LED9",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-S,36,XL-1615RGBC-WS2812B-S,C41413180
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,
"R1, R11, R12, R13, R2, R3, R4, R6, R7, R8",0603,10,10k,
"R10, R9",0603,2,5.1k,
R14,0603,1,4.7k,
R15,0603,1,100k,
R5,0603,1,330,
"SW1, SW2, SW3",KEY-SMD_B3U-1000PM,3,KEY-SMD_B3U-1000PM,C231329
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R8,
U10,SENSOR-TH_EKMC1601111,1,EKMC1601112,C5128270
U11,USON6_L2.1-W2.1-P0.65-BL-EP,1,OPT3001DNPR,C90462
U12,CONN-SMD-6P-P1.00_BM06B-SRSS-TB-LF-SN,1,BM06B-SRSS-TB(LF)(SN),C160392
U2,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U3,SOT-223-6_L6.5-W3.5-P1.27-LS7.0-BR,1,TPS73733DCQ_C5220270,C5220270
"U4, U6",SOT-23-6,2,USBLC6-2SC6,
U7,MIC-SMD_6P-L3.5-W2.7-P0.90-BL,1,ICS-43434_C5656610,C5656610
U8,LGA-14_L2.0-W2.0-P0.35-BL,1,LIS2DHTR,C155670
U9,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,1,SM03B-SRSS-TB(LF)(SN)(P),C160403
USBC1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
