Designator,Mid X,Mid Y,Rotation,Layer
C201,32.2,-16.0,270.0,top
C202,36.2,-14.2,90.0,top
C203,33.4,-20.9025,180.0,top
C204,58.2,-31.6,0.0,top
C501,22.65,-38.6,270.0,top
C502,22.65,-35.6,90.0,top
C503,24.25,-35.6,90.0,top
C504,18.05,-30.0,90.0,top
C701,29.6,-73.1475,0.0,top
C702,22.8,-73.1475,180.0,top
C801,45.6,-77.2,180.0,top
C802,45.6,-75.6,180.0,top
C901,73.945,-44.2,0.0,top
C902,67.0,-49.6,180.0,top
CN601,79.14,-29.2,270.0,top
LED401,31.9,-39.6,0.0,top
LED402,39.1,-39.6,0.0,top
LED403,46.3,-39.6,0.0,top
LED404,53.5,-39.6,0.0,top
LED405,60.7,-39.6,0.0,top
LED406,31.9,-46.8,0.0,top
LED407,39.1,-46.8,0.0,top
LED408,46.3,-46.8,0.0,top
LED409,53.5,-46.8,0.0,top
LED410,60.7,-46.8,0.0,top
LED411,31.9,-54.0,0.0,top
LED412,39.1,-54.0,0.0,top
LED413,46.3,-54.0,0.0,top
LED414,53.5,-54.0,0.0,top
LED415,60.7,-54.0,0.0,top
LED416,31.9,-61.2,0.0,top
LED417,39.1,-61.2,0.0,top
LED418,46.3,-61.2,0.0,top
LED419,53.5,-61.2,0.0,top
LED420,60.7,-61.2,0.0,top
LED421,31.9,-68.4,0.0,top
LED422,39.1,-68.4,0.0,top
LED423,46.3,-68.4,0.0,top
LED424,53.5,-68.4,0.0,top
LED425,60.7,-68.4,0.0,top
Q601,73.13,-27.65,180.0,top
Q602,73.13,-31.25,180.0,top
R201,33.375,-22.6,180.0,top
R202,58.225,-30.0,0.0,top
R203,42.0,-34.2,90.0,top
R204,44.8,-34.2,90.0,top
R501,17.4,-39.6,180.0,top
R601,75.93,-27.65,270.0,top
R602,75.93,-31.25,90.0,top
R701,34.0,-79.1475,90.0,top
R702,37.0,-79.1475,90.0,top
R901,67.0,-50.4,0.0,top
SW201,59.0,-18.2,90.0,top
SW202,62.0,-18.2,90.0,top
U1001,61.935,-26.3125,0.0,top
U201,46.85,-18.84,0.0,top
U301,74.975,-67.225,90.0,top
U501,17.4,-35.2,180.0,top
U701,26.208499,-71.431,270.0,top
U801,46.4,-80.2,270.0,top
U901,73.6,-50.46,0.0,top
USBC701,26.2,-77.9475,0.0,top
