Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C303, C305, C402",0603,5,10uF,
"C201, C203, C501, C503, C603, C901, C903",0603,7,1uf,
"C202, C502",0603,2,2.7nf,
"C301, C302",0805,2,10uf,
"C304, C401, C403, C404, C605, C701",0603,6,100nf,
"C306, C307, C308",0805,3,22uf,
C604,0603,1,22uF,
C902,0603,1,.47uF,
"C904, C905",0603,2,4.7uF,
D101,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,
"D201, D501",SOD-123_L2.7-W1.6-LS3.7-RD,2,1.8V,C150464
"D202, D502, D901",0603,3,LED,C2286
"F201, F501",1206,2,2A,C2924939
"J1001, J1002, J1101, J1102, J1201, J1202, J801, J802",PinHeader_1x02_P2.54mm_Vertical,8,PZ254V-11-02P,
J101,PinHeader_1x07_P2.54mm_Vertical,1,PM254V-11-07-H85,
J102,PinHeader_1x03_P2.54mm_Vertical,1,HB-PH3-25413PB2GOP,
J901,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,B2B-PH-K-S(LF)(SN),
L301,L_Coilcraft_XAL4020-XXX,1,1uH,C4555951
"Protect201, Protect501",VQFN-10_L2.0-W2.0-P0.45-TL,2,LM73100RPWR,C3210761
"Q1001, Q1101, Q1201, Q801",SOT-23,4,AO3400A,
"Q201, Q501",SOT-23,2,2N7002,
"Q401, Q402",SOT-23,2,MMBT3904,
"R1001, R101, R102, R103, R1101, R1201, R207, R301, R304, R305, R507, R601, R602, R801, R902, R903, R904, R909, R910, R911, R912, R913",0603,22,10k,
"R1002, R1102, R1202, R802",0603,4,100,
"R1003, R1103, R1203, R803",0603,4,330,
"R201, R204, R501, R504",0603,4,470k,
"R202, R502",0603,2,196k,
"R203, R503",0603,2,54.9k,
"R205, R505",0603,2,4120,
"R206, R506",0603,2,249k,
"R208, R508",0603,2,150,
R302,0603,1,680k,
R303,0603,1,130k,
"R402, R403",0603,2,470,
"R404, R405",0603,2,12k,
"R603, R604",0603,2,4.7k,
R901,2512,1,10mOhm,
R905,0603,1,18k,
"R906, R907",0603,2,2k,
R908,0603,1,1.5k,
SW601,KEY-SMD_B3U-1000PM,1,Boot,C231329
SW602,KEY-SMD_B3U-1000PM,1,Reset,C231329
U101,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,SN74LVC32ADR,C7852
U102,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-3.3DRV,
U103,LGA-14_L2.0-W2.0-P0.35-BL,1,LIS2DHTR,C155670
U301,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS63070RNMR,C109322
"U401, U701",SOT-23-6,2,USBLC6-2SC6,
U402,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U601,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U901,SON-12_L4.0-W2.5-P0.40-BL-EP,1,BQ27441DRZR-G1A,C473397
U902,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,BQ24075RGTR,C15464
USB401,MICRO-USB-SMD_MICROXNJ,1,MICROXNJ,C404969
USBC701,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
