Designator,Mid X,Mid Y,Rotation,Layer
C101,39.4,-63.8,180.0,top
C102,36.2,-63.8,0.0,top
C201,32.766842,-112.117,180.0,top
C202,35.766842,-116.117,0.0,top
C203,33.766842,-117.617,180.0,top
C301,92.0,-110.45,90.0,top
C302,94.0,-110.45,90.0,top
C303,96.725,-111.45,0.0,top
C304,99.0,-116.45,0.0,top
C305,101.225,-111.45,180.0,top
C306,104.0,-110.5,90.0,top
C307,106.0,-110.5,90.0,top
C308,108.0,-110.5,90.0,top
C401,27.6,-99.025,270.0,top
C402,33.825,-106.165,0.0,top
C403,33.825,-104.665,0.0,top
C404,38.625,-98.19,270.0,top
C501,31.484999,-80.715,180.0,top
C502,34.484999,-84.715,0.0,top
C503,32.484999,-86.215,180.0,top
C601,77.6,-67.15,0.0,top
C602,52.3,-52.575,90.0,top
C603,55.5,-52.625,90.0,top
C701,29.0775,-68.6,0.0,top
C901,65.575,-113.6,0.0,top
C902,73.775,-112.575,270.0,top
C903,61.375,-95.8,180.0,top
C904,65.925,-101.3,0.0,top
C905,65.925,-95.3,0.0,top
CN1301,87.25,-131.5,0.0,top
D101,72.8,-74.6,90.0,top
D102,70.315,-127.2,270.0,top
D103,17.8,-127.2,270.0,top
D201,38.041842,-112.117,0.0,top
D202,21.754342,-119.617,0.0,top
D501,36.76,-80.715,0.0,top
D502,20.4725,-88.215,0.0,top
D901,76.775,-107.8,270.0,top
F201,29.481842,-109.707,0.0,top
F501,28.211904,-78.117,0.0,top
J1001,92.25,-63.5,90.0,top
J1002,109.5,-63.5,90.0,top
J101,79.25,-57.5,180.0,top
J102,81.2,-91.665,0.0,bottom
J103,77.6,-131.35,0.0,top
J1101,92.0,-84.5,90.0,top
J1102,109.75,-84.5,90.0,top
J1201,92.025,-94.5,90.0,top
J1202,110.0,-94.5,90.0,top
J801,92.25,-74.0,90.0,top
J802,109.5,-74.25,90.0,top
J901,60.75,-107.0,90.0,top
L301,99.0,-106.45,0.0,top
Protect201,32.631842,-114.887,0.0,top
Protect501,31.349999,-83.485,0.0,top
Q1001,103.4275,-63.65,180.0,top
Q1101,103.8625,-84.050184,180.0,top
Q1201,104.0125,-93.65,180.0,top
Q1301,91.3,-124.0625,90.0,top
Q1302,85.75,-124.0,90.0,top
Q201,21.591842,-116.5545,90.0,top
Q401,44.6,-94.115,180.0,top
Q402,44.625,-98.05,180.0,top
Q501,20.31,-85.152499,90.0,top
Q801,103.0625,-73.75,180.0,top
R1001,54.45,-60.52,0.0,top
R1002,98.34,-62.54,0.0,top
R1003,98.34,-65.65,0.0,top
R101,60.975,-77.7,0.0,top
R102,40.8,-68.2,180.0,top
R103,35.4,-66.2,90.0,top
R1101,54.475,-63.72,0.0,top
R1102,98.775,-82.940184,0.0,top
R1103,98.775,-86.050184,0.0,top
R1201,54.45,-65.32,0.0,top
R1202,98.925,-92.54,0.0,top
R1203,98.925,-95.65,0.0,top
R1301,85.925,-128.25,0.0,top
R1302,91.5,-128.25,0.0,top
R1401,36.38,-123.2865,0.0,bottom
R1402,36.15,-125.0645,0.0,bottom
R1403,35.6,-127.2225,0.0,bottom
R1404,35.4,-129.8605,0.0,bottom
R1405,34.8,-132.8885,0.0,bottom
R1406,33.26,-136.8865,0.0,bottom
R201,29.216842,-111.617,0.0,top
R202,29.216842,-113.117,0.0,top
R203,29.216842,-114.617,0.0,top
R204,29.216842,-116.617,0.0,top
R205,38.041842,-114.117,180.0,top
R206,29.216842,-118.117,0.0,top
R207,21.716842,-112.117,0.0,top
R208,21.716842,-121.117,0.0,top
R301,91.575,-114.4,180.0,top
R302,92.5,-116.45,0.0,top
R303,102.825,-114.45,180.0,top
R304,102.825,-115.95,180.0,top
R305,92.5,-117.95,0.0,top
R402,39.3,-103.3,0.0,top
R403,39.3,-101.55,180.0,top
R404,41.8125,-98.725,270.0,top
R405,41.8125,-95.375,90.0,top
R501,27.935,-80.215,0.0,top
R502,27.935,-81.715,0.0,top
R503,27.935,-83.215,0.0,top
R504,27.935,-85.215,0.0,top
R505,36.76,-82.715,180.0,top
R506,27.935,-86.715,0.0,top
R507,20.435,-80.714999,0.0,top
R508,20.435,-89.715,0.0,top
R601,77.6,-68.8,180.0,top
R602,54.6,-55.4,0.0,top
R603,70.6,-72.75,90.0,top
R604,69.0,-72.75,90.0,top
R702,18.75,-58.75,0.0,top
R703,18.825,-55.5,0.0,top
R801,54.45,-62.12,0.0,top
R802,97.975,-72.64,0.0,top
R803,97.975,-75.75,0.0,top
R901,65.575,-108.4,90.0,top
R902,65.575,-115.2,0.0,top
R903,65.575,-116.8,0.0,top
R904,61.375,-102.4,0.0,top
R905,61.325,-97.6,180.0,top
R906,63.325,-93.1,90.0,top
R907,61.325,-100.8,180.0,top
R908,72.575,-107.975,90.0,top
R909,69.375,-103.4,180.0,top
R910,69.325,-98.1,0.0,top
R911,61.325,-99.2,0.0,top
R912,69.375,-99.8,0.0,top
R913,69.375,-101.6,0.0,top
SW602,78.3,-71.2,180.0,top
SW603,53.85,-57.92,0.0,top
TP101,60.375,-92.6,90.0,top
TP102,37.6,-68.8,0.0,top
TP201,25.481842,-109.107,0.0,top
TP202,41.681842,-118.707,0.0,top
TP301,88.75,-112.2,0.0,top
TP302,95.0,-114.2,0.0,top
TP303,95.5,-117.95,0.0,top
TP304,111.0,-112.2,0.0,top
TP501,24.211904,-77.717,0.0,top
TP502,39.4,-87.2,0.0,top
TP901,56.175,-111.2,90.0,top
TP902,56.175,-104.6,90.0,top
TP903,66.775,-92.4,90.0,top
U101,47.8,-79.0,180.0,top
U102,37.9375,-65.85,0.0,top
U103,64.0,-77.3,0.0,top
U301,99.0,-113.77,0.0,top
U401,24.6,-98.05,180.0,top
U402,33.85,-98.415,90.0,top
U601,66.05,-57.52,0.0,top
U701,25.2775,-68.6,180.0,top
U901,70.035,-112.7025,90.0,top
U902,65.175,-98.4,180.0,top
USB401,18.53,-98.13,270.0,top
USBC701,19.0775,-68.6,270.0,top
