Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103",0603,3,1uF,
C104,0603,1,10nF,
"C401, C403, C404",0603,3,100nf,
C402,0603,1,10uf,
J102,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,C18078211
"Q401, Q402",SOT-23,2,MMBT3904,
R101,0603,1,10k,
"R201, R202",0603,2,5.1k,
"R402, R403",0603,2,487,
"R404, R405",0603,2,12k,
U101,SOT-223-6_L6.5-W3.5-P1.27-LS7.0-BR,1,TPS73733DCQ_C5220270,C5220270
U401,SOT-23-6,1,USBLC6-2SC6,
U402,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
USBC201,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
