Designator,Mid X,Mid Y,Rotation,Layer
C101,52.75,-16.25,90.0,top
C102,52.75,-19.275,270.0,top
C103,51.25,-19.275,270.0,top
C104,51.975,-22.25,180.0,top
C401,35.275,-28.6,180.0,top
C402,28.135,-34.825,270.0,top
C403,29.635,-34.825,270.0,top
C404,36.11,-39.625,180.0,top
J102,52.5,-26.5,90.0,top
Q401,40.185,-45.6,90.0,top
Q402,36.25,-45.625,90.0,top
R101,57.0,-14.75,0.0,top
R201,28.75,-18.425,270.0,top
R202,42.25,-18.1,270.0,top
R402,31.0,-40.3,270.0,top
R403,32.75,-40.3,90.0,top
R404,35.575,-42.8125,180.0,top
R405,38.925,-42.8125,0.0,top
U101,58.0,-19.5,0.0,top
U401,36.25,-25.6,90.0,top
U402,35.885,-34.85,0.0,top
USBC201,36.0,-17.1,180.0,top
