Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C201, C301",0603,3,100nf,
"C102, C202, C302",0603,3,1uf,
"C203, C303",0603,2,10uf,
"CN1001, CN1101, CN401, CN501, CN601, CN701, CN801, CN901",CONN-TH_2P-P5.50_39-30-1020,8,39-30-1020,C240832
"CN201, CN301",CONN-SMD_BM04B-SRSS-TB,2,BM04B-SRSS-TB(LF)(SN),C160390
"D201, D301",SOT-143,2,SP0503BAHT,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,C7501274
"R1, R6, R7, R8",0603,4,10k,
"R2, R3, R4, R5",0603,4,560,
"R401, R501, R601, R701",0805,4,3.3k,
"U1001, U1101, U801, U901",SOP-4_L4.3-W4.4-P2.54-LS7.0-BL,4,GAQY221S,C7435105
U101,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,MCP23008-xML,C144211
